Run,$I_Z$,$V_nom$,$dt$,$V_{fs}$,$Q$,$P_{atm}$,$T_{tunnel}$,$\phi$,$R_{core}$,$\overline{t}_{max}$,$\overline{w}_{core}$
27,31.0,27.0,25,26.95,430,101054,298.65,70.1724652697,18.7370587884,5.03789923311,21.53492
28,31.0,29.0,25,29.09,496,101051,299.05,71.9053882709,17.1373693881,5.20397845862,23.87080625
29,31.0,31.0,25,31.26,576,101056,299.35,71.9049995556,18.4191195279,5.62569385923,26.1919276316
30,31.0,33.0,25,32.94,636,101024,299.75,76.9627341437,18.8496204117,5.82092470675,27.6635367347
31,34.0,15.0,40,14.86,133,101865,295.75,63.8264921892,19.695935159,2.93618926937,11.9818680851
32,34.0,17.0,40,17.39,180,101855,295.95,63.8275663186,18.5730786801,3.21381493199,14.2692134831
33,34.0,19.0,40,19.08,219,101847,296.1,63.8284256221,18.1716561409,3.57099686003,15.8201096386
34,34.0,21.0,40,21.13,267,101845,296.15,63.8286404479,20.4287453641,3.8822047302,17.5279383838
35,34.0,23.0,40,23.29,323,101844,296.45,63.8287478609,20.2136698088,4.31088109135,18.9440375
36,34.0,25.0,25,24.98,373,101840,296.65,65.5749417981,17.7467125167,4.74687467425,19.7298945946
37,34.0,27.0,25,27.09,438,101843,297.0,65.5746364334,18.1962921719,4.82194289306,22.1724234375
38,34.0,29.0,25,28.81,493,101848,297.55,65.5741274921,19.7167551844,5.1018719423,23.7892818182
39,34.0,31.0,25,30.87,570,101842,298.15,62.5183970019,33.8554734806,4.61869368846,28.47580625
40,34.0,33.0,25,33.44,661,101844,298.35,62.5181774928,35.9637046946,4.90701828373,31.0775968085
41,36.0,15.0,40,14.88,132,101815,296.25,57.4874018386,43.7885662518,1.74017024067,14.1753977273
42,36.0,17.0,40,17.24,180,101812,296.35,55.840888803,44.6453543835,2.20865628738,16.8104548387
43,36.0,19.0,40,19.08,217,101812,294.45,55.840888803,44.2052905356,2.47943585222,18.6910826087
44,36.0,21.0,40,21.18,267,101816,296.65,55.8403625737,44.430624025,2.66556044862,20.603234375
45,36.0,23.0,40,23.24,323,101809,296.95,55.8412834749,44.21170113,3.21376542908,22.74302375
46,36.0,25.0,25,24.9,371,101802,297.15,55.8422043762,38.2072509824,3.08893207497,23.3548507463
47,36.0,27.0,25,27.08,435,101788,297.45,55.8440461786,44.5294163959,3.53499461674,26.8922474576
48,36.0,29.0,25,29.19,506,101784,297.85,55.8445724078,44.1525519884,3.85260421092,28.9909362832
49,36.0,31.0,25,31.28,584,101786,298.15,56.0874445158,42.6810550669,3.85034969407,30.4943670886
50,36.0,33.0,25,33.05,645,101789,298.75,56.0870555957,44.3042917821,3.90497551467,32.1623536364
51,38.0,15.0,40,15.31,140,102039,294.85,61.2024040769,17.717397636,3.2610473263,12.2922428571
52,38.0,17.0,40,17.36,182,102034,294.95,61.203003735,38.1979083366,2.55091907415,16.2173246575
53,38.0,19.0,40,19.08,219,102035,295.15,59.447370122,37.0195518592,2.56856922794,17.7156516667
54,38.0,21.0,40,21.23,270,102037,295.35,59.4471183366,18.5226519378,4.37785780976,16.9113892857
55,38.0,23.0,40,23.33,327,102018,295.65,59.4495102985,35.1126501463,3.57135673887,21.4827285714
56,38.0,25.0,25,24.97,375,102021,295.95,59.4491326203,18.1912508026,5.3191034884,19.75148
57,38.0,27.0,25,27.05,437,102008,297.85,52.5647479517,35.8081571412,4.30839310076,25.4990514706
58,38.0,29.0,25,29.17,505,102005,298.15,47.4139103758,36.2667156339,4.67611630146,27.5634813725
59,38.0,31.0,25,30.9,571,102015,297.85,53.6649165891,35.2134174631,4.13619965318,28.9858862069
60,38.0,33.0,25,33.04,653,102009,297.35,53.6657631549,20.6190840644,6.489707816,26.6380285714
61,40.0,15.0,40,15.31,140,101977,296.15,52.0337352243,20.5102543697,3.12771247757,12.4388304348
62,40.0,17.0,40,16.98,171,101969,296.25,52.0349087981,34.7680352455,2.61891277955,15.8218920635
63,40.0,19.0,40,19.1,218,101961,296.3,52.0360823718,18.3549213973,4.02616561204,15.1194604651
64,40.0,21.0,40,21.15,269,101950,296.45,49.3828807295,34.7071404763,3.13219364116,19.5245352941
65,40.0,23.0,25,23.23,321,101953,296.77,52.5725821618,18.481575353,4.68480947943,19.0974
66,40.0,25.0,25,24.96,371,101951,297.07,52.5728670421,41.3524419361,3.75862296022,23.5656807692
67,40.0,27.0,25,27.05,436,101936,297.25,52.5750036449,35.9314368962,4.37882736621,25.5758414286
68,40.0,29.0,25,29.17,505,101928,297.76,52.5761431664,37.0833681985,4.07115051839,27.2882715789
69,40.0,31.0,25,31.31,581,101921,297.85,52.5771402477,18.2118132254,6.17251536599,25.3269142857
70,40.0,33.0,25,33.01,647,101922,298.3,52.5769978075,38.7733004731,4.62577703994,31.220655303
